kind,step,loss,lr,grad_norm
avg,0,0.2805,1e-08,3.11
avg,20,0.3013,1.15e-07,2.75
avg,40,0.3127,3.15e-07,2.84
avg,60,0.3087,5.15e-07,2.8
avg,80,0.2662,7.15e-07,2.8
avg,100,0.2811,9.15e-07,2.66
avg,120,0.2793,1.11e-06,2.53
avg,140,0.2546,1.31e-06,2.47
avg,160,0.2545,1.51e-06,2.21
avg,180,0.2513,1.71e-06,2.23
avg,200,0.198,1.91e-06,1.88
avg,220,0.1917,2.11e-06,1.72
avg,240,0.2099,2.31e-06,1.54
avg,260,0.1739,2.51e-06,1.42
avg,280,0.1605,2.71e-06,1.27
avg,300,0.1659,2.91e-06,1.14
avg,320,0.1122,3.11e-06,1.06
avg,340,0.1017,3.31e-06,0.89
avg,360,0.0983,3.51e-06,0.79
avg,380,0.1159,3.71e-06,0.68
avg,400,0.0807,3.91e-06,0.62
avg,420,0.0733,4.11e-06,0.59
avg,440,0.0809,4.31e-06,0.52
avg,460,0.0722,4.51e-06,0.42
avg,480,0.0668,4.71e-06,0.36
avg,500,0.0558,4.91e-06,0.35
avg,520,0.0577,5.11e-06,0.3
avg,540,0.0585,5.31e-06,0.27
avg,560,0.0414,5.51e-06,0.32
avg,580,0.0495,5.71e-06,0.25
avg,600,0.0472,5.91e-06,0.24
avg,620,0.036,6.11e-06,0.22
avg,640,0.0564,6.31e-06,0.25
avg,660,0.0593,6.51e-06,0.25
avg,680,0.046,6.71e-06,0.26
avg,700,0.0484,6.91e-06,0.22
avg,720,0.0448,7.11e-06,0.24
avg,740,0.0498,7.31e-06,0.21
avg,760,0.0484,7.51e-06,0.21
avg,780,0.0523,7.71e-06,0.23
avg,800,0.042,7.91e-06,0.22
avg,820,0.0442,8.11e-06,0.22
avg,840,0.0536,8.31e-06,0.23
avg,860,0.0669,8.51e-06,0.3
avg,880,0.0476,8.71e-06,0.26
avg,900,0.0531,8.91e-06,0.23
avg,920,0.0494,9.11e-06,0.24
avg,940,0.0548,9.31e-06,0.24
avg,960,0.0501,9.51e-06,0.22
avg,980,0.0585,9.71e-06,0.24
avg,1000,0.0429,9.91e-06,0.24
avg,1020,0.0409,1.01e-05,0.27
avg,1040,0.0355,1.03e-05,0.22
avg,1060,0.049,1.05e-05,0.26
avg,1080,0.0338,1.07e-05,0.27
avg,1100,0.0526,1.09e-05,0.24
avg,1120,0.042,1.11e-05,0.24
avg,1140,0.0597,1.13e-05,0.33
avg,1160,0.0433,1.15e-05,0.28
avg,1180,0.0373,1.17e-05,0.25
avg,1200,0.0479,1.19e-05,0.34
avg,1220,0.0585,1.21e-05,0.32
avg,1240,0.0627,1.23e-05,0.26
avg,1260,0.0454,1.25e-05,0.28
avg,1280,0.0528,1.27e-05,0.25
avg,1300,0.041,1.29e-05,0.27
avg,1320,0.0428,1.31e-05,0.29
avg,1340,0.0569,1.33e-05,0.36
avg,1360,0.0399,1.35e-05,0.3
avg,1380,0.0304,1.37e-05,0.32
avg,1400,0.0414,1.39e-05,0.32
avg,1420,0.025,1.41e-05,0.31
avg,1440,0.0456,1.43e-05,0.29
avg,1460,0.036,1.45e-05,0.37
avg,1480,0.0333,1.47e-05,0.29
avg,1500,0.05,1.49e-05,0.28
avg,1520,0.0242,1.51e-05,0.27
avg,1540,0.0451,1.53e-05,0.3
avg,1560,0.0428,1.55e-05,0.28
avg,1580,0.064,1.57e-05,0.3
avg,1600,0.0494,1.59e-05,0.28
